"ExpPirCat","venuename","Bends","margfin","avgmargfin","n","ExpPirAdj"
"OF","Goulburn",1,3.7522,3.63787560318973,100,0.114324396810266
"OP","Goulburn",1,3.27977528089888,3.63787560318973,89,-0.358100322290857
"BM","Grafton",1,4.6407722007722,3.58886139357148,259,1.05191080720072
"L","Grafton",1,2.67775229357798,3.58886139357148,218,-0.911109099993495
"MF","Grafton",1,3.77955555555556,3.58886139357148,225,0.190694161984079
"OF","Grafton",1,3.75137254901961,3.58886139357148,204,0.162511155448131
"OP","Grafton",1,3.09485436893204,3.58886139357148,206,-0.494007024639438
"BM","Griffith",1,5.08888888888889,3.00718253968254,9,1.06955455286384
"L","Griffith",1,2.5,3.00718253968254,9,-0.924015755938997
"MF","Griffith",1,1.9375,3.00718253968254,8,-0.090221572989505
"OF","Griffith",1,2.96666666666667,3.00718253968254,9,0.358382575859891
"OP","Griffith",1,2.54285714285714,3.00718253968254,7,-0.444167040746402
"BM","Gundagai",1,5.50169811320755,4.05478934068662,53,1.44690877252093
"L","Gundagai",1,2.87407894736842,4.05478934068662,76,-1.1807103933182
"MF","Gundagai",1,3.79785714285714,4.05478934068662,70,-0.256932197829479
"OF","Gundagai",1,4.5703125,4.05478934068662,64,0.515523159313378
"OP","Gundagai",1,3.53,4.05478934068662,65,-0.524789340686622
"BM","Gunnedah",1,5.71489361702128,4.33883368483848,47,1.37605993218279
"L","Gunnedah",1,2.41111111111111,4.33883368483848,54,-1.92772257372737
"MF","Gunnedah",1,4.35625,4.33883368483848,48,0.0174163151615154
"OF","Gunnedah",1,5.29268292682927,4.33883368483848,41,0.953849241990784
"OP","Gunnedah",1,3.91923076923077,4.33883368483848,52,-0.419602915607716
"BM","Hamilton",1,4.55909090909091,3.44813801124249,154,1.11095289784842
"L","Hamilton",1,2.84785714285714,3.44813801124249,140,-0.600280868385346
"MF","Hamilton",1,3.36,3.44813801124249,155,-0.088138011242489
"OF","Hamilton",1,3.48731343283582,3.44813801124249,134,0.039175421593332
"OP","Hamilton",1,2.98642857142857,3.44813801124249,140,-0.461709439813918
"BM","Hawkesbury",1,5.05840909090909,3.51758686529928,44,1.54082222560981
"L","Hawkesbury",1,2.5984962406015,3.51758686529928,133,-0.919090624697781
"MF","Hawkesbury",1,3.27345323741007,3.51758686529928,139,-0.244133627889213
"OF","Hawkesbury",1,3.57340909090909,3.51758686529928,88,0.055822225609806
"OP","Hawkesbury",1,3.08416666666667,3.51758686529928,132,-0.433420198632618
"BM","Hobart",1,4.54111111111111,3.4203796914297,45,1.12073141968142
"L","Hobart",1,2.55820895522388,3.4203796914297,67,-0.862170736205815
"MF","Hobart",1,4.31475409836066,3.4203796914297,61,0.89437440693096
"OF","Hobart",1,2.85188679245283,3.4203796914297,53,-0.568492898976865
"OP","Hobart",1,2.8359375,3.4203796914297,64,-0.584442191429695
"BM","Inverell",1,5.85263157894737,4.24838345864662,19,1.06955455286384
"L","Inverell",1,3.46428571428571,4.24838345864662,14,-0.924015755938997
"MF","Inverell",1,4.87,4.24838345864662,10,-0.090221572989505
"OF","Inverell",1,3.54666666666667,4.24838345864662,15,0.358382575859891
"OP","Inverell",1,3.50833333333333,4.24838345864662,12,-0.444167040746402
"BM","Ipswich",1,4.66487603305785,3.4319792130173,242,1.23289682004055
"L","Ipswich",1,2.46313725490196,3.4319792130173,255,-0.968841958115338
"MF","Ipswich",1,3.16304347826087,3.4319792130173,230,-0.268935734756429
"OF","Ipswich",1,3.86290322580645,3.4319792130173,186,0.430924012789153
"OP","Ipswich",1,3.00593607305936,3.4319792130173,219,-0.426043139957938
"BM","Kalgoorlie",1,4.7675,3.47659449884271,160,1.29090550115729
"L","Kalgoorlie",1,2.07502824858757,3.47659449884271,177,-1.40156625025514
"MF","Kalgoorlie",1,3.24703703703704,3.47659449884271,162,-0.229557461805676
"OF","Kalgoorlie",1,4.275125,3.47659449884271,160,0.798530501157287
"OP","Kalgoorlie",1,3.01828220858896,3.47659449884271,163,-0.458312290253756
"BM","Kembla Grange",1,4.03141025641026,3.31937210311239,156,0.712038153297865
"L","Kembla Grange",1,2.58232931726908,3.31937210311239,249,-0.737042785843315
"MF","Kembla Grange",1,3.15233644859813,3.31937210311239,214,-0.167035654514261
"OF","Kembla Grange",1,3.86369047619048,3.31937210311239,168,0.544318373078085
"OP","Kembla Grange",1,2.96709401709402,3.31937210311239,234,-0.352278086018374
"BM","Kempsey",1,5.40909090909091,4.22764790764791,11,1.06955455286384
"L","Kempsey",1,2.90454545454545,4.22764790764791,22,-0.924015755938997
"MF","Kempsey",1,4.01428571428571,4.22764790764791,14,-0.090221572989505
"OF","Kempsey",1,4.72142857142857,4.22764790764791,14,0.358382575859891
"OP","Kempsey",1,4.08888888888889,4.22764790764791,18,-0.444167040746402
"BM","Kilmore",1,4.47121212121212,3.67893580570321,66,0.792276315508914
"L","Kilmore",1,2.76224489795918,3.67893580570321,98,-0.916690907744024
"MF","Kilmore",1,4.02530120481928,3.67893580570321,83,0.346365399116069
"OF","Kilmore",1,3.93243243243243,3.67893580570321,74,0.253496626729225
"OP","Kilmore",1,3.20348837209302,3.67893580570321,86,-0.475447433610185
"BM","Kyneton",1,4.52242990654206,3.85024829611879,107,0.672181610423268
"L","Kyneton",1,3.04163090128755,3.85024829611879,233,-0.808617394831235
"MF","Kyneton",1,3.64372294372294,3.85024829611879,231,-0.206525352395845
"OF","Kyneton",1,4.45590909090909,3.85024829611879,220,0.605660794790303
"OP","Kyneton",1,3.5875486381323,3.85024829611879,257,-0.262699657986492
"BM","Leeton",1,4.48571428571429,3.48901706137,7,1.06955455286384
"L","Leeton",1,2.85909090909091,3.48901706137,22,-0.924015755938997
"MF","Leeton",1,3.47647058823529,3.48901706137,17,-0.090221572989505
"OF","Leeton",1,3.8,3.48901706137,13,0.358382575859891
"OP","Leeton",1,2.82380952380952,3.48901706137,21,-0.444167040746402
"BM","Lismore",1,4.784,3.55521620968491,50,1.22878379031508
"L","Lismore",1,2.32380952380952,3.55521620968491,63,-1.23140668587539
"MF","Lismore",1,3.48333333333333,3.55521620968491,48,-0.0718828763515815
